class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,date_of_birth_reference_URL,described_by_source_value,date_of_death_value,date_of_death_reference_URL,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value,related_to_label,member_of_value
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,date_of_birth,,,1829.0,https://www.artlyrique.fr/personnages/Rocheblave.html,,,,,,,,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,described_by_source,,,,,,,,,,,,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,date_of_death,,,,,,1882.0,https://www.artlyrique.fr/personnages/Rocheblave.html,,,,,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,place_of_birth,,,,,,,,,,,,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,place_of_death,,,,,,,,,,,,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,sex_or_gender,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,identifier,,,,,,,,,,,,http://www.wikidata.org/entity/Q141495527,,,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY,arranger,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,,,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,related_to,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Journal des demoiselles,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,related_to,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bbp23eR4DnZs,Élisa Adam-Boisgontier,
Agent,Antoine Rocheblave,,,Antoine Rocheblave,Antoine Rocheblave.md,dotvkxrkZXYu,738871447573030448157,member_of,,,,,,,,,,,,,,,,,
