class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_publication_date,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,based_on_label
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1838-01-01,6.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3v4q5PWHnZcN,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY', 'label': 'arranger'}",Louis Gomion,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PBr2jjFrFXnm,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Gaetano Donizetti,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,has_version,,,,,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10359989,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10359989,1838-01-01,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10359989/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,title,,,,,,,,,,,,,,,,,Deux Madones. Romance,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,depicts,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,about,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,
Manifestation,Quadrille. Parisina,,,Quadrille. Parisina,Quadrille. Parisina.md,Q5YfCM4bBtmP,455270584580947959207,based_on,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/UabpPirExmof,Parisina
