class,description,aliases,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,described_by_source_value,identifier_value
Concept,,,clergyman,clergyman,clergyman.md,CvXTTAGDV8To,225371759447174028357,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/mQD8LFQ4A2HJ,occupation,,,
Concept,,,clergyman,clergyman,clergyman.md,CvXTTAGDV8To,225371759447174028357,subclass_of,,,,,
Concept,,,clergyman,clergyman,clergyman.md,CvXTTAGDV8To,225371759447174028357,described_by_source,,,,,
Concept,,,clergyman,clergyman,clergyman.md,CvXTTAGDV8To,225371759447174028357,identifier,,,,,http://www.wikidata.org/entity/Q3315492
