class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FNU55ruFFYjd,programme music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1889-01-01,51.0,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jrncQaEniubd,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Octave Fouque,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88113,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1889-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,title,,,,,,,,,,,,,,,,Cracoviana: pour le piano,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Cracoviana. pour le piano,,,Cracoviana. pour le piano,Cracoviana. pour le piano.md,T3eDQEfcZJYp,516489452450578501237,based_on,,,,,,,,,,,,,,,,,,,,,,,
