class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,depicts_value,about_value,language_value,based_on_value
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,has_part,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,43.0,1887-01-01,Magasin des demoiselles,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,contributor,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,has_version,,,,,,,,,http://catalogue.bnf.fr/ark:/12148/cb32810582s,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzUK38XpCjqB', 'label': 'Bibliothèque nationale de France'}",1887-01-01,https://gallica.bnf.fr/ark:/12148/bpt6k999675n,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k999675n/manifest.json,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,title,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,instrumentation,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,depicts,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,about,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,language,,,,,,,,,,,,,,,,,,,,
Manifestation,Magasin des demoiselles (1887),,,Magasin des demoiselles (1887),Magasin des demoiselles (1887).md,bk8xqxzLgPA8,696234316103900424975,based_on,,,,,,,,,,,,,,,,,,,,
