class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_holding_institution,has_version_permalink,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,1853-01-01,Trésor des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CXpPMVRq6JaP],"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/AouufLb7bx5R,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Paul Henrion,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,has_version,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,title,,,,,,,,,,,,,,Captivité: Mélodie.,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,based_on,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Captivité,,,Captivité,Captivité.md,HhZTHayappCf,323857509826393716367,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
