class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,based_on_label,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1869-09,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/YKeuirNkbiW8,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Benjamin Bilse,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012402709706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1869.0,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,title,,,,,,,,,,,,,,Sturm-Marsch-Galopp : Op. 6 B. Bilse,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WSTca29Sohqe,Grande valse brillante Op. 18,,
Manifestation,Sturm-Marsch-Galopp. Op. 6,,,Sturm-Marsch-Galopp. Op. 6,Sturm-Marsch-Galopp. Op. 6.md,6GDUWYPFWSco,87684885230963072358,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mj6hzfVSHHew,classical dance music
