class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,depicts_label,about_value,about_label,language_value,based_on_value
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FNU55ruFFYjd,programme music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1890-01-01,58.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88119,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1890-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,title,,,,,,,,,,,,,,,,Ondine,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CvRtXZCnhvKH,undine,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,about,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RixYXzFHfhqy,mythology,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Musique de Mlle H. Wild,Ondine. Musique de Mlle H. Wild.md,ZoDppeZsnymZ,656079479601758135188,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
