class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1869-01,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/dotvkxrkZXYu,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Antoine Rocheblave,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012401689706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1869.0,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,title,,,,,,,,,,,,,,Les pionniers : choeur de A. Rocheblave ; transcription pour piano à 4 mains.,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/kc8mMg6XAXbn,1.0,piano four hands,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les pionniers. Choeur. Transcription pour piano à 4 mains,,,Les pionniers. Choeur. Transcription pour piano à 4 mains,Les pionniers. Choeur. Transcription pour piano à 4 mains.md,Z7RsjHQseoro,641674687674288829473,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,
