class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,depicts_label,about_value,about_label,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1879-10-01,47.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7rCN58jGBfxB,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Marie Antonine Joséphine de Gramont,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=89103,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1879-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,title,,,,,,,,,,,,,,,,La vallée de chevreuse : suite de valses,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/eXQDntRhJGku,Chevreuse,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,about,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2z8JMC92FAK6,landscape,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,language,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. Suite de valses,,,La vallée de chevreuse. Suite de valses,La vallée de chevreuse. Suite de valses.md,Nhd9FMoJ4wES,427060405052758499685,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz
