class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value,member_of_value
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,date_of_birth,,,1816.0,,,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,described_by_source,,,,,,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,date_of_death,,,,,1902.0,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,place_of_birth,,,,,,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,place_of_death,,,,,,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q457806,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,related_to,,,,,,,,,,,,,,
Agent,Benjamin Bilse,,,Benjamin Bilse,Benjamin Bilse.md,YKeuirNkbiW8,625465978798070356911,member_of,,,,,,,,,,,,,,
