class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1837-01-01,5.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fVVUZGiGyTJr,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY', 'label': 'arranger'}",Joseph Vimeux,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ek3Kt26Yt2sh,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Auguste Marquerie,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,has_version,,,,,,,,,,,https://mdz-nbn-resolving.de/details:bsb10359988,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",1837-01-01,https://www.digitale-sammlungen.de/en/view/bsb10359988,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10359988/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,title,,,,,,,,,,,,,,,,,Vole! Vole! Hirondelle,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/oVWVztHMuzF4,1.0,guitar,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Vole! Vole! Hirondelle,,,Vole! Vole! Hirondelle,Vole! Vole! Hirondelle.md,C6UXNXKkBERA,207975541815872468573,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
