class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,8.0,1852-01-01,Magasin des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,23.0,1856-01-01,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8vWQXZ7da2WS,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",J. Sommereau,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/UcHT4D7idom9,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Marie Caroline Miolan-Carvalho,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PzUabvHd5rR3,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Charles de Montfort,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,title,,,,,,,,,,,,,,,Fauvette: Chansonette.,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Fauvette,,,Fauvette,Fauvette.md,3JDQaYB6Tv2h,26500814310394200801,based_on,,,,,,,,,,,,,,,,,,,,,,,
