class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_note,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,23.0,1855-11-01,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/dzhMAzwriP43,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Clara Pilet-Comettant,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1855-11-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",dedicated to M.me C. Houillon,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,title,,,,,,,,,,,,,,,,Les lutins de Bretagne: Quadrille pour piano a quatre mains. N.1 Les Jan Gant Etan,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/kc8mMg6XAXbn,1.0,piano four hands,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les lutins de Bretagne,,,Les lutins de Bretagne,Les lutins de Bretagne.md,LiRnHQgHVwqd,386078547941944883465,based_on,,,,,,,,,,,,,,,,,,,,,,,
