class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,identifier_value,occupation_value,occupation_label,related_to_value,member_of_value
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,date_of_birth,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,described_by_source,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,date_of_death,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,place_of_birth,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,place_of_death,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,sex_or_gender,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,identifier,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,related_to,,,,,,,,,,,,,
Agent,H. Henry,,,H. Henry,H. Henry.md,k3KxZ8he3QS2,867183881698427355153,member_of,,,,,,,,,,,,,
