class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,related_to_value,related_to_relationship,related_to_label,member_of_value
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,date_of_birth,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,described_by_source,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,date_of_death,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,place_of_birth,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,place_of_death,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,identifier,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,occupation,,,,,,,,,,,,,,,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/G39Q2gVfxU7S,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9GekkBKKgjMW', 'label': 'sibling'}",Juline Poncabaré,
Agent,Clément Poncabaré,,,Clément Poncabaré,Clément Poncabaré.md,NTcJNXAMBCUB,421986603817837790313,member_of,,,,,,,,,,,,,,,
