class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,depicts_label,about_value,about_label,language_value,based_on_value,based_on_label
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1882-01-01,50.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ui6pfXfmqxPM,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Léon Vasseur,,,,,,,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88116,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1882-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,title,,,,,,,,,,,,,,,,Les fées du lac : valse brillante pour piano,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/i35bPNVVTFXP,mythical character,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,about,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RixYXzFHfhqy,mythology,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,language,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les fées du lac. valse brillante pour piano,,,Les fées du lac. valse brillante pour piano,Les fées du lac. valse brillante pour piano.md,8PAPGoxTCgLt,131471279971456226342,based_on,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/gviox6r658Y4,Le Lac des fées
