class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,depicts_label,about_value,about_label,language_value,based_on_value
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1879-01-01,47.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=89103,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1879-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,title,,,,,,,,,,,,,,,,La vallée de chevreuse : suite de valses,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/eXQDntRhJGku,Chevreuse,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,about,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2z8JMC92FAK6,landscape,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La vallée de chevreuse. suite de valses,,,La vallée de chevreuse. suite de valses,La vallée de chevreuse. suite de valses.md,98ui7xFiSD8t,146951892600794357747,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
