class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,about_label,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1863-07,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WwjjVjpFTEDV,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Charles Delisle,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XAXPzmuYeWFU,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Enrico de' Rossi-Gazzolo,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991016161969706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/koyArz5BTiZv', 'label': 'Municipal Library of Trento'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1863.0,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,title,,,,,,,,,,,,,,La danza : tarantelle napolitaine par Ch. Delisle.,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,about,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BCSvsKmuf8u3,exoticism,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La danza. Tarantelle napolitaine,,Dediée à M.me Denise,La danza. Tarantelle napolitaine,La danza. Tarantelle napolitaine.md,NRbT3Gb5vXAx,421257150912764981823,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7xkioCTJrXxL,tarantella
