class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,1859.0,15.0,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8sM7TLD3KzME,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Léo Delibes,,,,,,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Qc88zGgn28AB,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Charles Nuitter,,,,,,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:14016062,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1859.0,,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,title,,,,,,,,,,,,,,,Frère et soeur : opera comique et un acte,,,,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,,
Manifestation,La fille du golfe. Opéra-comique en un acte,,,La fille du golfe. Opéra-comique en un acte,La fille du golfe. Opéra-comique en un acte.md,38NfsimmXazi,22939349187872174572,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,3.0,voice,,,,,,,
