class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,described_by_source_value,inception_value,location_value,dissolved_value,contributor_value,official_website_value,identifier_value,country_value,country_label
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TKzN8Z8ZP45J,public library,,,,,,,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,described_by_source,,,,,,,,,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,inception,,,,,,,,,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,location,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7ghKvwoUDWGX],,,,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,dissolved,,,,,,,,,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,contributor,,,,,,,,,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,official_website,,,,,,,,http://www.comune.rivadelgarda.tn.it/biblioteca,,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,identifier,,,,,,,,,http://www.wikidata.org/entity/Q112944579,,
Organisation,Biblioteca Civica di Riva del Garda,,,Biblioteca Civica di Riva del Garda,Biblioteca Civica di Riva del Garda.md,imcKCzyxkTwE,841221294479759260809,country,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VAvBZjyK4s8B,Italy
