class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,1860.0,16.0,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9aBMsq9wJBR3,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Jules Duprato,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2RzaB8E5rKtz,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Auguste Carré,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:14018031,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1860.0,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,title,,,,,,,,,,,,,,,La reine mozab : opéra-comique en un acte,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,3.0,voice,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La reine mozab. Opéra-comique en un acte,,,La reine mozab. Opéra-comique en un acte,La reine mozab. Opéra-comique en un acte.md,F6XCdYmXePGk,269900208100152535890,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
