class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1868-03,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,has_version,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012396749706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1868.0,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,title,,,,,,,,,,,,Pulcinella : polka par M.me L. Lacombe.,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,instrumentation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,language,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,based_on,,,,,,,,,,,,,,,,,,,,,
Manifestation,Pulcinella. Polka par M.me L. Lacombe,,,Pulcinella. Polka par M.me L. Lacombe,Pulcinella. Polka par M.me L. Lacombe.md,gNKtgK86YmMY,791518483748663816856,form_of_creative_work,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka
