class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_publication_date,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/aph6QHtmL78s,romance,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1838-01-01,6.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fVVUZGiGyTJr,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cZsa9QkDZfZY', 'label': 'arranger'}",Joseph Vimeux,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5BX54FRugrpJ,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Francesco Masini,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Je7moMztSRaR,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Émile Barateau,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,has_version,,,,,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10359989,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10359989,1838-01-01,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10359989/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,title,,,,,,,,,,,,,,,,,Deux Madones. Romance,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/oVWVztHMuzF4,1.0,guitar,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,instrumentation,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Deux Madones. Romance,,,Deux Madones. Romance,Deux Madones. Romance.md,Dny65A3KJPvG,243274147671596835158,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
