class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1869-01,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ndscpsPeLQkH,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Felix Mendelssohn,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4Z9bCRmwDbS7,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Paul Dubourg,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012401289706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1869.0,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,title,,,,,,,,,,,,,,Souviens-toi! : mélodie paroles de Paul Dubourg ; musique de Mendelssohn.,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Souviens-toi! Mélodie,,,Souviens-toi! Mélodie,Souviens-toi! Mélodie.md,Vx5Z3bQhWmGD,576741608800898871482,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WHdDug4Xwv3G,mélodie
