class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,occupation_value,occupation_label,date_of_birth_value,described_by_source_value,described_by_source_label,date_of_death_value,place_of_birth_value,place_of_birth_label,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,occupation,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nQTxNAy4WtLK,editor,,,,,,,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,date_of_birth,,,,,1818-03-15,,,,,,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,described_by_source,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/S2Htsbzzq7aP,Agents of Change,,,,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,date_of_death,,,,,,,,1884-06-04,,,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,place_of_birth,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CnfhMurv8zu8,Antwerp,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,place_of_death,,,,,,,,,,,,,,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,sex_or_gender,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/6vopxa7szAQ4,female,
Agent,Louise Jeanne Cécile Ruelens,,,Louise Jeanne Cécile Ruelens,Louise Jeanne Cécile Ruelens.md,QNrJy8MMgzU8,461537225053232420955,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q55875664
