class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,9.0,1852-01-01,Magasin des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,,1853-01-01,Trésor des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Pfj3svCdi9rS,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Victor Mabille,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NJj4eNcAg37w,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Eugène Delisle,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1853-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,title,,,,,,,,,,,,,,,,Le Livre du coeur: Méditation.,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Livre du coeur,,,Le Livre du coeur,Le Livre du coeur.md,ETrdTiZTknRK,256990452460512746279,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
