class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,about_label,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1868-11,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/YbNR26axZDQC,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Jules ten Brink,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012401149706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1868.0,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,title,,,,,,,,,,,,,,Ghazel : valse arrangée pour piano par Darnoc ; composée par J. Ten Brink.,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,about,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BCSvsKmuf8u3,exoticism,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ghazel. Valse,,,Ghazel. Valse,Ghazel. Valse.md,eCpW9h8afLPq,746808031756255309391,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz
