class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,date_of_birth,,,1810,,,,,,,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,described_by_source,,,,,,,,,,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,date_of_death,,,,,1888.0,,,,,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,place_of_birth,,,,,,,,,,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,place_of_death,,,,,,,,,,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q19999474,,,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz,librettist,
Agent,Marc Constantin,,,Marc Constantin,Marc Constantin.md,m7feHGwGuNLg,889392907435789782992,related_to,,,,,,,,,,,,,
