class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,based_on_label,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1869.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/b8RbfoXTY2fG,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Frédéric Chopin,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012402209706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1869.0,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,title,,,,,,,,,,,,,,Grande valse brillante : op. 18 Fr. Chopin.,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WSTca29Sohqe,Grande valse brillante Op. 18,,
Manifestation,Grande valse brillante. Op. 18 Fr. Chopin,,,Grande valse brillante. Op. 18 Fr. Chopin,Grande valse brillante. Op. 18 Fr. Chopin.md,WupsdmYavjF7,596566594102703852969,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz
