class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label,related_to_value,related_to_label
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,date_of_birth,,,1797.0,,,,,,,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,described_by_source,,,,,,,,,,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,date_of_death,,,,,1869.0,,,,,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,place_of_birth,,,,,,,,,,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,place_of_death,,,,,,,,,,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q15407271,,,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,,
Agent,Jean-Baptiste-Joseph Tolbecque,,,Jean-Baptiste-Joseph Tolbecque,Jean-Baptiste-Joseph Tolbecque.md,BYP8tqy6dgqh,196718247647047260837,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Journal des demoiselles
