class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_reference_URL,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,2.0,Trésor des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3At93rnWJp3u,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",https://anet.be/record/opacap/c:lvd:13279473,Prosper Guion,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3At93rnWJp3u', 'label': 'Prosper Guion'}",https://anet.be/record/opacap/c:lvd:13279473,lyricist,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,has_version,,,,,,,,,,,https://anet.be/record/opacap/c:lvd:13279473,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,title,,,,,,,,,,,,,,,La brune Thérèse,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La brune Thérèse,,,La brune Thérèse,La brune Thérèse.md,KWMc2MyB5896,361071698515835820721,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
