class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,related_to_value,related_to_label
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,date_of_birth,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,described_by_source,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,date_of_death,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,place_of_birth,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,place_of_death,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/6vopxa7szAQ4,female,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,identifier,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,occupation,,,,,,,,,,,,,
Agent,Eliza Henrietta Sartoris-de L'Aigle,"['Eliza Henrietta Sartoris', ""Marquise de l'Aigle""]",,Eliza Henrietta Sartoris-de L'Aigle,Eliza Henrietta Sartoris-de L'Aigle.md,jfwBjh9ajdmo,859804840717625197335,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,Hortense Wild
