class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,,1853.0,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3pfFtL7PyMqL,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Abonées du Journal des Dames et Demoiselles,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ckc24LpP764N,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Charles Le Corbeiller,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,has_version,,,,,,,,,,,https://go.wander.be/record/opacap/c:lvd:12977361,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Habre5ErbtGP', 'label': 'Jean Baptiste Bruylant'}",1853.0,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,title,,,,,,,,,,,,,,,,Neptune: quadrille pour le piano,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Neptune. Quadrille pour le piano,,,Neptune. Quadrille pour le piano,Neptune. Quadrille pour le piano.md,9Rc8SbHP9LwF,152994732214804847614,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
