class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,identifier_value,occupation_value,related_to_value
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,date_of_birth,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,described_by_source,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,date_of_death,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,place_of_birth,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,place_of_death,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,sex_or_gender,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,identifier,,,,,,,,,http://www.wikidata.org/entity/Q4233718,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,occupation,,,,,,,,,,,
Agent,anonymous,,,anonymous,anonymous.md,briR3aDucPXV,698618920788719297934,related_to,,,,,,,,,,,
