class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/aRNbPTwmsbtP,mazurka,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,23.0,1856-01-01,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7iBtPDhpSi6a,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Elisa Bosch,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,title,,,,,,,,,,,,,,,L'Aubépine: Polka mazurka,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,L'Aubépine,,,L'Aubépine,L'Aubépine.md,gyh3ExubqN2H,804323872952994036021,based_on,,,,,,,,,,,,,,,,,,,,,,
