class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,9.0,1841-01-01,Journal des demoiselles,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,has_version,,,,,,,,,https://search.onb.ac.at/permalink/f/sb7jht/ONB_alma21287762010003338,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/6TWgDcxqkKDN', 'label': 'Austrian National Library'}",1841-01-01,https://viewer.onb.ac.at/10A4EB6F/,https://api.onb.ac.at/iiif/presentation/v3/manifest/10A4EB6F,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,title,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,instrumentation,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1841),,,Journal des demoiselles (1841),Journal des demoiselles (1841).md,CCYeABXF9uN3,210173903518750209808,based_on,,,,,,,,,,,,,,,,,,,,,
