class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,identifier_value,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,Trésor des demoiselles,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2iKRPNbFtmcd,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Louis Rauis,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ZfmKav6XRoha,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Victor Lefèvre,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,has_version,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1853-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,has_version,,,,,,,,,https://uurl.kbr.be/bib/16059097,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2osPtS3ax4Hc', 'label': 'Royal Library of Belgium'}",1853-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/85SpUz2RoVS7', 'label': 'Jean Baptiste Katto'}",https://uurl.kbr.be/1477349,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,title,,,,,,,,,,,,,,,Le Pinson ou le bien pour le mal,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,identifier,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,identifier,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le Pinson,,,Le Pinson,Le Pinson.md,G2DfGMPf6jS5,288976615496145968385,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French
