class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,1860-11,,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/eio68muLsyCF,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Ed. Billard,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:12977313,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}, {'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",1860-11,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jD5hNbBz25A4', 'label': 'Camille Schubert'}, {'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CsmdRaVBmz3o', 'label': 'Schott Music'}]",,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,title,,,,,,,,,,,,,,,,Zabella: schottisch,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Zabella. Schottisch,,,Zabella. Schottisch,Zabella. Schottisch.md,dirnB2Qevykf,737047620179249545684,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/P3xwqK2mHjC7,schottische
