class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jUohUDQ7mo5u,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Abonnés du Journal des Demoiselles,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzKoxNkE4So3,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Eugène Bousquet,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,has_version,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=61736,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,title,,,,,,,,,,,,,,Prussen Schottisch Eugène Bousquet,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Prussen Schottisch,,,Prussen Schottisch,Prussen Schottisch.md,92k2TrjpQoSN,144718111197251708744,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/P3xwqK2mHjC7,schottische
