class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1868-03,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/V8FvqpV6QvB7,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Wolfgang Amadeus Mozart,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012402209706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1868.0,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,title,,,,,,,,,,,,,,Allegretto grazioso de la sonate IV. Mozart.,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,based_on,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Allegretto grazioso de la sonate IV. Mozart.,,,Allegretto grazioso de la sonate IV. Mozart.,Allegretto grazioso de la sonate IV. Mozart..md,M8TBQxpGybti,394414132255442095645,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5GQCpP8JBfZH]
