class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,instance_of_value,instance_of_label
Place,France,"['Frankrijk', 'Francia']",,France,France.md,LCZnUXZBAaXS,375268381433550005979,identifier,http://wikidata.org/entity/Q142,,,
Place,France,"['Frankrijk', 'Francia']",,France,France.md,LCZnUXZBAaXS,375268381433550005979,country,,,,
Place,France,"['Frankrijk', 'Francia']",,France,France.md,LCZnUXZBAaXS,375268381433550005979,instance_of,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Aut3aeGdqhKq,country
