class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,instance_of_value,instance_of_label
Place,Netherlands,,,Netherlands,Netherlands.md,dggAjTSBZEfA,736256090862171196994,identifier,http://wikidata.org/entity/Q55,,,
Place,Netherlands,,,Netherlands,Netherlands.md,dggAjTSBZEfA,736256090862171196994,country,,,,
Place,Netherlands,,,Netherlands,Netherlands.md,dggAjTSBZEfA,736256090862171196994,instance_of,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Aut3aeGdqhKq,country
