class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,based_on_value,about_value,language_value
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/U66A6PCCFAfU,polka,,,,,,,,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,1853-01-01,Trésor des demoiselles,,,,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FiYhQVAhpR5M,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Alfred Lebigre,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,has_version,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1853-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}",,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,title,,,,,,,,,,,,,,,La Pervenche. Polka des Demoiselles,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,based_on,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La Pervenche,,,La Pervenche,La Pervenche.md,7sLxino2QMBv,121039555928306324029,language,,,,,,,,,,,,,,,,,,,,,,
