class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_value,title_value,instrumentation_value,language_value,language_label,depicts_value,based_on_value,about_value
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,identifier,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=19582,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,instance_of,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,has_part,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,part_of,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,27.0,1859-01-01,Trésor des demoiselles,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,contributor,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/QNrJy8MMgzU8,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nQTxNAy4WtLK', 'label': 'editor'}",Louise Jeanne Cécile Ruelens,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,contributor,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Tk5wRTQJ7aUs', 'label': 'publisher'}",François Desterbecq,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,has_version,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,title,,,,,,,,,,,,,Trésor des demoiselles. Vingt-septième Année.,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,instrumentation,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,depicts,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,based_on,,,,,,,,,,,,,,,,,,,
Manifestation,Trésor des demoiselles (1859),,1859 issues collected in one volume.,Trésor des demoiselles (1859),Trésor des demoiselles (1859).md,ASrkWEECtVfe,174085604453787328902,about,,,,,,,,,,,,,,,,,,,
