class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_place_of_publication,has_version_holding_institution,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,based_on_label,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,contributor,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jUohUDQ7mo5u,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Abonnés du Journal des Demoiselles,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,has_version,,,,,,,,,https://go.wander.be/record/opacap/c:lvd:12977282,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}",,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,title,,,,,,,,,,,,Quadrille sur l'opéra Le prophète,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,instrumentation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,based_on,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RNwEeP5MdCkK,Le prophète,,
Manifestation,Quadrille sur l'opéra Le prophète,,,Quadrille sur l'opéra Le prophète,Quadrille sur l'opéra Le prophète.md,YchLbp5wxwMv,631635908893534899298,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
