class,description,aliases,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,described_by_source_value,identifier_value
Concept,,['sonatine'],sonatina,sonatina,sonatina.md,RrmqoJKdibD3,492281736014117076127,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/dfucaD9GdueP,type of musical work,,,
Concept,,['sonatine'],sonatina,sonatina,sonatina.md,RrmqoJKdibD3,492281736014117076127,subclass_of,,,,,
Concept,,['sonatine'],sonatina,sonatina,sonatina.md,RrmqoJKdibD3,492281736014117076127,described_by_source,,,,,
Concept,,['sonatine'],sonatina,sonatina,sonatina.md,RrmqoJKdibD3,492281736014117076127,identifier,,,,,http://www.wikidata.org/entity/Q1045984
