class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value
Place,Austria,['Österreich'],,Austria,Austria.md,a4RmK3GfPvEA,661223771595385221086,identifier,http://www.wikidata.org/entity/Q40,
Place,Austria,['Österreich'],,Austria,Austria.md,a4RmK3GfPvEA,661223771595385221086,country,,
