class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,country_label
Place,Rovereto,,,Rovereto,Rovereto.md,UVpHqGKMxPXT,546602228226525082252,identifier,http://www.wikidata.org/entity/Q279373,,
Place,Rovereto,,,Rovereto,Rovereto.md,UVpHqGKMxPXT,546602228226525082252,country,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VAvBZjyK4s8B,Italy
