class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,1863-03,,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jD5hNbBz25A4,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Camille Schubert,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:13148947,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]",1863.0,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,title,,,,,,,,,,,,,,,,"Le menuet de la cour : esquisse musicale dans le style Louis XV pour piano, op. 294",,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le menuet de la cour. Esquisse musicale dans le style Louis XV,,,Le menuet de la cour. Esquisse musicale dans le style Louis XV,Le menuet de la cour. Esquisse musicale dans le style Louis XV.md,3BYKUjCdUh95,24086690270367731124,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/QGNp7BLtRf3R,minuet
