class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publisher,has_version_place_of_publication,has_version_note,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,identifier_value,depicts_value,based_on_value,about_value,language_value,language_label
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Rbyhy2fEYa2g,duet,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fPQHFdTsWu9q,29.0,La mélodie,,,,,,,,,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VWaxuELqVfKN,,Trésor des demoiselles,,,,,,,,,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VcpJBubpN5Jf,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Louis Bordèse,,,,,,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2YakjmMCnSKo,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PGagqrY8C5Aa', 'label': 'lyricist'}",Édouard Plouvier,,,,,,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,has_version,,,,,,,,,,https://anet.be/record/opacdkvc/c:lvd:14382572,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4k5EPcbvKbQE', 'label': 'Joseph Meynne'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]","Part of the periodical Le mélodie, vol. 29",,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,has_version,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=181935,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LJtUagnxHJ9B', 'label': 'Gustave Jacqmain'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/dcRsGEWm6xtE', 'label': 'Ghent'}]",,1852-01-01,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,has_version,,,,,,,,,,https://anet.be/record/opacap/c:lvd:14382572,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4k5EPcbvKbQE', 'label': 'Joseph Meynne'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",La mélodie vol. 29,,,,,,,,,,,
Manifestation,Les Fauvettes,,,Les Fauvettes,Les Fauvettes.md,bGHNgXsPckvg,686150738933694652121,has_version,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XogB6ccutzoR', 'label': 'François Desterbecq'}","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",,,,,,,,,,,,
