class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/P3xwqK2mHjC7,schottische,,,,,,,,,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,has_part,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,23.0,1855-11-01,Journal des demoiselles,,,,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TyP7T2zkXYhF,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Narcisse Bousquet,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/QKKdeXjo8w7N,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Gustave de Revel,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1855-11-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}",,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,title,,,,,,,,,,,,,,,Emilie. Schottich,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,depicts,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,about,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,language,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Emilie. Schottich,,,Emilie. Schottich,Emilie. Schottich.md,hs4rWBqGPmab,822557835667738237845,based_on,,,,,,,,,,,,,,,,,,,,,,
