class,description,aliases,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,described_by_source_value,identifier_value
Concept,,,physician,physician,physician.md,EKZ4UEKdoJmP,253982534779710698469,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/mQD8LFQ4A2HJ,occupation,,,
Concept,,,physician,physician,physician.md,EKZ4UEKdoJmP,253982534779710698469,subclass_of,,,,,
Concept,,,physician,physician,physician.md,EKZ4UEKdoJmP,253982534779710698469,described_by_source,,,,,
Concept,,,physician,physician,physician.md,EKZ4UEKdoJmP,253982534779710698469,identifier,,,,,http://www.wikidata.org/entity/Q39631
