class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HuT8aF2rGmzB,1863.0,20.0,Magasin des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/M5XPBvFV3pSm,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Ernest Boulanger,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/2RzaB8E5rKtz,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Auguste Carré,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,has_version,,,,,,,,,,,https://anet.be/record/ap/opacap/c:lvd:13225495,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RYU7rRDeh5zs', 'label': 'Royal Conservatory of Antwerp'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1863.0,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,title,,,,,,,,,,,,,,,La meunière sans-souci : opérette en un acte,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/XydSWTaz2cRs,1.0,choir,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,4.0,voice,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La meunière sans-souci. Opérette en un acte,,,La meunière sans-souci. Opérette en un acte,La meunière sans-souci. Opérette en un acte.md,6CfxBFVtuyuN,86404972210287740453,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/bogx9ECia7TM,operetta
