class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publisher,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1874.0,42.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/4Z9bCRmwDbS7,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Paul Dubourg,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VKzHPzJxYHNi,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Victor Massé,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,has_version,,,,,,,,,,,https://catalogue.bnf.fr/ark:/12148/cb43140041g,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzUK38XpCjqB', 'label': 'Bibliothèque nationale de France'}",1878.0,https://gallica.bnf.fr/ark:/12148/bpt6k1281624n,https://gallica.bnf.fr/ark:/12148/bpt6k1281624n,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RsFBDg2HUa72', 'label': 'Theodor Michaelis'}",,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=70336,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1874.0,,,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,title,,,,,,,,,,,,,,,,,,Un Loi Somptuaire. opérette en deux actes,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,instrumentation,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,depicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,about,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,
Manifestation,Un Loi Somptuaire. opérette en deux actes,,,Un Loi Somptuaire. opérette en deux actes,Un Loi Somptuaire. opérette en deux actes.md,NwbDdEzfpcoh,432116657260390753869,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,,,
