class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,sex_or_gender_label,identifier_value,occupation_value,occupation_label
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,date_of_birth,,,,,,,,,,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,described_by_source,,,,,,,,,,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,date_of_death,,,,,,,,,,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,place_of_birth,,,,,,,,,,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,place_of_death,,,,,,,,,,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,sex_or_gender,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/hkA3uvTGSDnD,male,,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,identifier,,,,,,,,,,http://www.wikidata.org/entity/Q934876,,
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer
Agent,Jean-Baptiste Weckerlin,,,Jean-Baptiste Weckerlin,Jean-Baptiste Weckerlin.md,2yrMbZSDVHNx,20218886147341497057,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Bmuitt3Uptaq,writer
