class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,country_label
Place,Trento,,,Trento,Trento.md,E4xSS3mmne5W,248700565602960039946,identifier,http://www.wikidata.org/entity/Q3376,,
Place,Trento,,,Trento,Trento.md,E4xSS3mmne5W,248700565602960039946,country,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VAvBZjyK4s8B,Italy
