class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,depicts_label,about_value,about_label,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,has_part,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1890.0,58.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88119,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1890.0,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,title,,,,,,,,,,,,,,,,Ondine / par H. Wild,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/CvRtXZCnhvKH,undine,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,about,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/RixYXzFHfhqy,mythology,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,language,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Ondine,,,Ondine. Par H. Wild,Ondine. Par H. Wild.md,YuGFQRG8bw4Y,637631109547059767787,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FNU55ruFFYjd,programme music
