class,description,aliases,label,base_name,filename,id,n_id,property,instance_of_value,subclass_of_value,described_by_source_value,identifier_http,form_of_creative_work_value,contributor_value,has_version_value,instrumentation_value,part_of_value,title_value,based_on_value
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,instance_of,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,subclass_of,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,described_by_source,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,identifier,,,,//www.wikidata.org/entity/Q187947,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,form_of_creative_work,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,contributor,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,has_version,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,instrumentation,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,part_of,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,title,,,,,,,,,,,
Manifestation,"handwritten or printed form of musical notation that uses musical symbols to indicate the pitches, rhythms, or chords of a song or instrumental musical piece","['sheet music', 'score', 'partiture']",notated music,notated music,notated music.md,PoUD3gvUcVyr,449811764690758467864,based_on,,,,,,,,,,,
