class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,country_label
Place,Edeghem,,,Edeghem,Edeghem.md,Ebx8kqGPPPEV,259921629901401494238,identifier,http://www.wikidata.org/entity/Q724238,,
Place,Edeghem,,,Edeghem,Edeghem.md,Ebx8kqGPPPEV,259921629901401494238,country,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/B2DaBkDtqy5R,Belgium
