class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1870-01,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/G39Q2gVfxU7S,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Juline Poncabaré,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NTcJNXAMBCUB,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Clément Poncabaré,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012402979706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1870.0,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,title,,,,,,,,,,,,,,Un bal à Couatémas par Julien Poncabaré.,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un bal à Couatémas,,Dediée à M.me Denise,Un bal à Couatémas,Un bal à Couatémas.md,2DBAbcShdbv5,4040486929436523441,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mj6hzfVSHHew,classical dance music
