class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,date_of_birth_value,described_by_source_value,date_of_death_value,place_of_birth_value,place_of_death_value,sex_or_gender_value,identifier_value,occupation_value,occupation_label,related_to_value,related_to_label,member_of_value
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/TudsDJnQvonk,human,,,,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,date_of_birth,,,1788.0,,,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,described_by_source,,,,,,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,date_of_death,,,,,1849.0,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,place_of_birth,,,,,,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,place_of_death,,,,,,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,sex_or_gender,,,,,,,,,,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,identifier,,,,,,,,,http://www.wikidata.org/entity/Q1063930,,,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5,composer,,,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,Journal des demoiselles,
Agent,Charles Chaulieu,,,Charles Chaulieu,Charles Chaulieu.md,H2xwJFYVrc2V,309887414829118171845,member_of,,,,,,,,,,,,,,
