class,label,aliases,description,base_name,filename,id,n_id,property,identifier_value,country_value,country_label
Place,Riva del Garda,,,Riva del Garda,Riva del Garda.md,7ghKvwoUDWGX,117186470872240833413,identifier,http://www.wikidata.org/entity/Q194136,,
Place,Riva del Garda,,,Riva del Garda,Riva del Garda.md,7ghKvwoUDWGX,117186470872240833413,country,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VAvBZjyK4s8B,Italy
