class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,based_on_label,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1868-07,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/b8RbfoXTY2fG,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Frédéric Chopin,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,has_version,,,,,,,,,,https://strutture-provincia.primo.exlibrisgroup.com/permalink/39SBT_INST/116i12g/alma991012399599706186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/WYNgoYLdzNNR', 'label': 'Biblioteca comunale di Ala'}","[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",1868.0,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,title,,,,,,,,,,,,,,Valse brillante : Op. 34 Fr. Chopin,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,about,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,language,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/ZF4igoS6uoo8,"Trois grandes valses brillantes, Op. 34",,
Manifestation,Valse brillante. Op. 34 Fr. Chopin,,,Valse brillante. Op. 34 Fr. Chopin,Valse brillante. Op. 34 Fr. Chopin.md,g6Fved5zbiw5,785700764162131692366,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/LTZ2PAutKcZC,waltz
